BATSMAN ,BOWLER ,RUNS
SE Marsh ,RP Singh ,59
DR Smith ,S Nadeem ,59
V Sehwag ,JA Morkel ,59
SPD Smith ,SL Malinga ,59
DR Smith ,YS Chahal ,59
MEK Hussey ,IK Pathan ,59
V Sehwag ,PP Chawla ,59
RV Uthappa ,DS Kulkarni ,59
AM Rahane ,A Nehra ,59
R Dravid ,L Balaji ,59
LMP Simmons ,MM Sharma ,58
KD Karthik ,UT Yadav ,58
LMP Simmons ,R Ashwin ,58
M Vijay ,S Narwal ,58
DA Warner ,UT Yadav ,58
LMP Simmons ,Sandeep Sharma ,58
R Dravid ,IK Pathan ,58
DPMD Jayawardene ,SL Malinga ,58
RG Sharma ,AB Dinda ,58
ML Hayden ,JH Kallis ,57
SPD Smith ,KV Sharma ,57
KD Karthik ,R Vinay Kumar ,57
RG Sharma ,A Kumble ,57
SR Tendulkar ,SK Trivedi ,57
RV Uthappa ,I Sharma ,57
DPMD Jayawardene ,R Bhatia ,57
G Gambhir ,I Sharma ,57
S Dhawan ,Sandeep Sharma ,57
RV Uthappa ,M Muralitharan ,57
AM Rahane ,Mohammed Shami ,57
V Sehwag ,Z Khan ,56
RV Uthappa ,S Sreesanth ,56
SA Asnodkar ,MS Gony ,56
JH Kallis ,SB Jakati ,56
SK Raina ,AB Dinda ,56
SV Samson ,Harbhajan Singh ,56
RV Uthappa ,DW Steyn ,56
AC Gilchrist ,S Sreesanth ,56
KD Karthik ,PP Chawla ,56
SR Watson ,Shakib Al Hasan ,56
JH Kallis ,IK Pathan ,56
M Vijay ,VR Aaron ,56
AC Gilchrist ,JH Kallis ,56
MK Tiwary ,PP Chawla ,56
CH Gayle ,AR Patel ,56
JH Kallis ,MM Patel ,56
G Gambhir ,SB Jakati ,56
RA Jadeja ,PP Chawla ,56
RV Uthappa ,P Kumar ,56
S Dhawan ,IK Pathan ,56
CH Gayle ,KA Pollard ,56
DA Warner ,KW Richardson ,56
SK Raina ,DJ Bravo ,55
RV Uthappa ,SR Watson ,55
V Sehwag ,RA Jadeja ,55
G Gambhir ,PP Ojha ,55
V Sehwag ,Harbhajan Singh ,55
AB de Villiers ,SB Jakati ,55
CH Gayle ,Sandeep Sharma ,55
SK Raina ,Iqbal Abdulla ,55
AB de Villiers ,DW Steyn ,55
AM Rahane ,NM Coulter-Nile ,55
KD Karthik ,RA Jadeja ,55
AM Rahane ,S Nadeem ,55
RV Uthappa ,A Nehra ,55
GJ Maxwell ,A Mishra ,55
Yuvraj Singh ,SK Raina ,55
MS Dhoni ,DJ Bravo ,55
SR Tendulkar ,A Mishra ,55
NV Ojha ,PP Chawla ,55
DA Warner ,PP Ojha ,54
AM Rahane ,S Aravind ,54
BB McCullum ,PJ Cummins ,54
AB de Villiers ,MJ McClenaghan ,54
AM Rahane ,MM Sharma ,54
SS Iyer ,MJ McClenaghan ,54
V Kohli ,MM Sharma ,54
G Gambhir ,A Mishra ,54
V Kohli ,Sandeep Sharma ,54
PA Patel ,AB Dinda ,54
V Kohli ,SK Raina ,54
SR Watson ,M Muralitharan ,54
TM Dilshan ,SK Trivedi ,54
AB de Villiers ,PV Tambe ,54
AT Rayudu ,R Ashwin ,53
G Gambhir ,MC Henriques ,53
AB de Villiers ,MC Henriques ,53
V Kohli ,B Kumar ,53
CH Gayle ,DJ Bravo ,53
MS Dhoni ,Yuvraj Singh ,53
KD Karthik ,M Muralitharan ,53
SK Raina ,SR Watson ,53
GJ Maxwell ,Harbhajan Singh ,53
KD Karthik ,JH Kallis ,53
G Gambhir ,MS Gony ,53
S Dhawan ,MJ McClenaghan ,53
V Kohli ,SP Narine ,53
DJ Hussey ,A Mishra ,53
AM Rahane ,DJ Bravo ,53
GC Smith ,Z Khan ,53
G Gambhir ,PP Chawla ,53
CH Gayle ,MM Patel ,53
RV Uthappa ,HV Patel ,52
AM Rahane ,KV Sharma ,52
MS Bisla ,R Ashwin ,52
AM Rahane ,AD Mathews ,52
G Gambhir ,RP Singh ,52
SR Watson ,MM Sharma ,52
M Vijay ,I Sharma ,52
RG Sharma ,SK Warne ,52
RG Sharma ,AB Agarkar ,52
PA Patel ,P Kumar ,52
AB de Villiers ,P Kumar ,52
DA Warner ,MJ McClenaghan ,52
V Sehwag ,MM Patel ,52
RG Sharma ,SR Watson ,52
CH Gayle ,MG Johnson ,51
S Dhawan ,R Ashwin ,51
ST Jayasuriya ,JA Morkel ,51
GJ Maxwell ,PP Chawla ,51
S Dhawan ,PP Ojha ,51
G Gambhir ,M Muralitharan ,51
SK Raina ,P Awana ,51
RV Uthappa ,Sandeep Sharma ,51
WP Saha ,Harbhajan Singh ,51
RR Pant ,SK Raina ,51
