BATSMAN ,BOWLER ,RUNS
SS Tiwary ,STR Binny ,6
KD Karthik ,A Uniyal ,6
GC Smith ,V Kohli ,6
CR Brathwaite ,PP Chawla ,6
Iqbal Abdulla ,RP Singh ,6
JEC Franklin ,AC Thomas ,6
RA Tripathi ,P Negi ,6
Shakib Al Hasan ,S Nadeem ,6
NV Ojha ,MS Gony ,6
SK Raina ,SMSM Senanayake ,6
SPD Smith ,Shakib Al Hasan ,6
Q de Kock ,SL Malinga ,6
RJ Harris ,KA Pollard ,6
M Klinger ,Iqbal Abdulla ,6
CA Lynn ,B Kumar ,6
J Botha ,Anand Rajan ,6
MC Juneja ,DJ Hussey ,6
Salman Butt ,GD McGrath ,6
NV Ojha ,D du Preez ,6
SK Raina ,JA Morkel ,6
P Kumar ,M Ntini ,6
Niraj Patel ,IK Pathan ,6
CR Brathwaite ,AD Russell ,6
VVS Laxman ,SM Pollock ,6
AA Jhunjhunwala ,M Muralitharan ,6
R Dravid ,Ankit Sharma ,6
Y Venugopal Rao ,SJ Srivastava ,6
HH Gibbs ,SC Ganguly ,6
JP Duminy ,I Sharma ,6
EJG Morgan ,MS Gony ,6
AL Menaria ,R McLaren ,6
AB McDonald ,CRD Fernando ,6
T Kohli ,GD McGrath ,6
S Dhawan ,JEC Franklin ,6
MS Bisla ,A Nehra ,6
DJ Hussey ,CL White ,6
ST Jayasuriya ,Z Khan ,6
SPD Smith ,Basil Thampi ,6
MC Henriques ,AD Russell ,6
PJ Cummins ,Basil Thampi ,6
CA Pujara ,JA Morkel ,6
IK Pathan ,NLTC Perera ,6
R Vinay Kumar ,JDP Oram ,6
SL Malinga ,J Syed Mohammad ,6
GC Smith ,K Goel ,6
JP Duminy ,BJ Hodge ,6
DJ Bravo ,FH Edwards ,6
KM Jadhav ,Yuvraj Singh ,6
KD Karthik ,P Negi ,6
MC Henriques ,S Kaul ,6
CJ Anderson ,M Morkel ,6
SE Marsh ,NB Singh ,6
PA Reddy ,SK Trivedi ,6
R Dravid ,CK Langeveldt ,6
JP Duminy ,M de Lange ,6
N Rana ,Rashid Khan ,6
Shakib Al Hasan ,A Singh ,6
RS Bopara ,Z Khan ,6
DT Patil ,SK Warne ,6
AJ Finch ,Iqbal Abdulla ,6
S Dhawan ,AM Salvi ,6
JH Kallis ,P Amarnath ,6
MK Tiwary ,V Pratap Singh ,6
MR Marsh ,SL Malinga ,6
BB McCullum ,AD Mathews ,6
S Badrinath ,V Sehwag ,6
S Badrinath ,Sohail Tanvir ,6
EJG Morgan ,M Muralitharan ,6
DPMD Jayawardene ,LR Shukla ,6
VH Zol ,PV Tambe ,6
RA Jadeja ,KP Pietersen ,6
KH Pandya ,BB Sran ,6
MK Tiwary ,Sandeep Sharma ,6
BA Stokes ,Mohammed Shami ,6
RE van der Merwe ,P Kumar ,6
SA Asnodkar ,MF Maharoof ,6
DJG Sammy ,DJ Bravo ,6
SP Goswami ,A Nehra ,6
SK Warne ,PP Chawla ,6
Z Khan ,JDP Oram ,6
JO Holder ,Mustafizur Rahman ,6
M Vijay ,VS Malik ,6
JP Faulkner ,A Nehra ,6
C Munro ,DJ Hooda ,6
CH Morris ,SP Narine ,6
Mandeep Singh ,DL Vettori ,6
Bipul Sharma ,PP Ojha ,6
K Goel ,DJ Hussey ,6
Shoaib Malik ,S Sreesanth ,6
STR Binny ,P Kumar ,6
LR Shukla ,M Muralitharan ,6
A Kumble ,IK Pathan ,6
WP Saha ,A Choudhary ,6
RV Uthappa ,Azhar Mahmood ,6
MK Pandey ,BA Bhatt ,6
J Botha ,R Ashwin ,6
SK Raina ,SB Bangar ,6
Mandeep Singh ,PV Tambe ,6
LRPL Taylor ,P Awana ,6
W Jaffer ,SB Bangar ,6
GJ Bailey ,CJ Anderson ,6
P Negi ,P Sahu ,6
S Dhawan ,J Syed Mohammad ,6
PA Patel ,A Mithun ,6
MC Henriques ,P Negi ,6
DW Steyn ,SP Narine ,6
AD Mathews ,DP Nannes ,6
JR Hopes ,PC Valthaty ,6
AA Bilakhia ,DP Nannes ,6
LMP Simmons ,MC Henriques ,6
LRPL Taylor ,SK Raina ,6
M Kaif ,Umar Gul ,6
BB McCullum ,BCJ Cutting ,6
M Kaif ,GB Hogg ,6
Harbhajan Singh ,BA Bhatt ,6
GC Smith ,AB Agarkar ,6
JA Morkel ,KA Pollard ,6
BB Samantray ,STR Binny ,6
STR Binny ,JJ Bumrah ,6
JH Kallis ,MC Henriques ,6
TM Dilshan ,MG Johnson ,6
K Goel ,DJ Bravo ,6
KM Jadhav ,MJ McClenaghan ,6
JD Ryder ,MM Patel ,6
HM Amla ,Yuvraj Singh ,6
CH Gayle ,CJ Anderson ,6
A Symonds ,B Lee ,6
MC Henriques ,J Yadav ,6
SA Asnodkar ,SK Raina ,6
GJ Bailey ,VR Aaron ,6
SK Raina ,WPUJC Vaas ,6
Shakib Al Hasan ,SK Raina ,6
CH Morris ,Mohammed Siraj ,6
MEK Hussey ,RE van der Merwe ,6
HV Patel ,TG Southee ,6
TM Head ,RA Jadeja ,6
RA Tripathi ,R Tewatia ,6
SE Marsh ,MR Marsh ,6
R Sathish ,SK Trivedi ,6
CA Pujara ,DJG Sammy ,6
JP Faulkner ,AB Dinda ,6
RV Uthappa ,P Amarnath ,6
LRPL Taylor ,R Sharma ,6
Harpreet Singh ,SR Watson ,6
WPUJC Vaas ,YK Pathan ,6
LRPL Taylor ,DJ Bravo ,6
Harbhajan Singh ,Iqbal Abdulla ,5
S Dhawan ,RG More ,5
LA Pomersbach ,JD Unadkat ,5
MG Johnson ,SK Trivedi ,5
MP Stoinis ,AJ Tye ,5
V Kohli ,JDP Oram ,5
SL Malinga ,AD Mathews ,5
NLTC Perera ,I Sharma ,5
IK Pathan ,KW Richardson ,5
SK Raina ,S Ladda ,5
Sunny Singh ,SR Watson ,5
WP Saha ,AS Rajpoot ,5
IK Pathan ,DJG Sammy ,5
KC Sangakkara ,A Mishra ,5
I Sharma ,DJ Bravo ,5
T Taibu ,DP Vijaykumar ,5
DR Smith ,R Dhawan ,5
SP Fleming ,SM Pollock ,5
PA Patel ,M Vijay ,5
RP Singh ,LR Shukla ,5
AD Mathews ,AR Patel ,5
GH Vihari ,J Botha ,5
M Vijay ,KW Richardson ,5
M Kaif ,B Lee ,5
RV Uthappa ,SC Ganguly ,5
J Botha ,DJ Bravo ,5
AM Nayar ,KA Pollard ,5
MS Dhoni ,DR Smith ,5
AB Dinda ,Z Khan ,5
PR Shah ,RP Singh ,5
G Gambhir ,CK Kapugedera ,5
V Kohli ,P Parameswaran ,5
DB Ravi Teja ,RP Singh ,5
F Behardien ,AB Dinda ,5
Karanveer Singh ,CH Morris ,5
GH Vihari ,SK Trivedi ,5
R Sathish ,SW Tait ,5
AR Patel ,Shakib Al Hasan ,5
SR Tendulkar ,JD Unadkat ,5
SV Samson ,JP Duminy ,5
MS Bisla ,MG Johnson ,5
JC Buttler ,NLTC Perera ,5
Shakib Al Hasan ,SC Ganguly ,5
LRPL Taylor ,S Nadeem ,5
DS Lehmann ,PP Chawla ,5
SK Raina ,SM Pollock ,5
PD Collingwood ,S Narwal ,5
VR Aaron ,R Dhawan ,5
Q de Kock ,SA Yadav ,5
KK Nair ,MP Stoinis ,5
WP Saha ,CR Brathwaite ,5
CA Ingram ,MR Marsh ,5
KD Karthik ,S Sreesanth ,5
SR Tendulkar ,AP Dole ,5
Harbhajan Singh ,Sandeep Sharma ,5
AC Voges ,BJ Hodge ,5
BB McCullum ,BE Hendricks ,5
A Chopra ,SB Styris ,5
SS Iyer ,DR Smith ,5
KC Sangakkara ,DW Steyn ,5
HM Amla ,Harbhajan Singh ,5
RR Powar ,DJ Bravo ,5
CJ Ferguson ,Shakib Al Hasan ,5
MK Pandey ,DE Bollinger ,5
SK Warne ,VRV Singh ,5
MJ Guptill ,S Aravind ,5
RA Jadeja ,DJG Sammy ,5
AD Mascarenhas ,B Lee ,5
SK Warne ,BA Bhatt ,5
A Choudhary ,JP Faulkner ,5
BB McCullum ,WPUJC Vaas ,5
UBT Chand ,I Sharma ,5
AB McDonald ,Azhar Mahmood ,5
SS Iyer ,A Nehra ,5
AC Voges ,SB Jakati ,5
DJ Jacobs ,RV Gomez ,5
STR Binny ,AD Russell ,5
MEK Hussey ,RG Sharma ,5
AD Russell ,RS Bopara ,5
MN Samuels ,Z Khan ,5
I Sharma ,A Nehra ,5
CL White ,Harmeet Singh ,5
PA Patel ,Mohammad Asif ,5
RT Ponting ,SM Pollock ,5
DJ Bravo ,CJ Jordan ,5
A Ashish Reddy ,M Morkel ,5
TL Suman ,M Kartik ,5
WP Saha ,DT Christian ,5
KK Nair ,Avesh Khan ,5
CL White ,P Awana ,5
MEK Hussey ,Mohammed Shami ,5
JC Buttler ,JP Faulkner ,5
SS Tiwary ,DT Christian ,5
B Lee ,KK Cooper ,5
HH Pandya ,BA Stokes ,5
JDP Oram ,MA Khote ,5
LMP Simmons ,UT Yadav ,5
SE Marsh ,S Dhawan ,5
DJ Hussey ,Iqbal Abdulla ,5
S Dhawan ,BA Stokes ,5
AP Dole ,Harbhajan Singh ,5
JEC Franklin ,J Botha ,5
S Badrinath ,JJ van der Wath ,5
Ankit Sharma ,D Wiese ,5
JC Buttler ,S Aravind ,5
KP Pietersen ,BJ Hodge ,5
CK Kapugedera ,SR Watson ,5
ST Jayasuriya ,RJ Harris ,5
AD Mathews ,SJ Srivastava ,5
CK Kapugedera ,GD McGrath ,5
AC Blizzard ,AC Thomas ,5
MK Tiwary ,Ankit Sharma ,5
P Negi ,D Wiese ,5
KM Jadhav ,S Nadeem ,5
SS Tiwary ,AB McDonald ,5
GJ Maxwell ,AS Rajpoot ,5
STR Binny ,TA Boult ,5
A Ashish Reddy ,MS Gony ,5
SA Yadav ,DJ Bravo ,5
KA Pollard ,Joginder Sharma ,5
JD Ryder ,DJ Hussey ,5
B Kumar ,CH Morris ,5
AM Nayar ,VR Aaron ,5
LRPL Taylor ,CK Langeveldt ,5
ST Jayasuriya ,L Balaji ,5
MC Henriques ,CR Woakes ,5
RA Jadeja ,SJ Srivastava ,5
DR Smith ,PJ Cummins ,5
VS Malik ,Z Khan ,5
BJ Rohrer ,AD Mathews ,5
S Aravind ,JD Unadkat ,5
SR Tendulkar ,A Singh ,5
RV Uthappa ,KMDN Kulasekara ,5
RJ Peterson ,M Kartik ,5
R Sathish ,S Sreesanth ,5
SL Malinga ,JP Faulkner ,5
KD Karthik ,BA Bhatt ,5
AA Jhunjhunwala ,Pankaj Singh ,5
Mandeep Singh ,MG Johnson ,5
MA Agarwal ,S Sreesanth ,5
JH Kallis ,AD Mascarenhas ,5
DJ Bravo ,D du Preez ,5
CH Morris ,PP Chawla ,5
RG Sharma ,VS Malik ,5
SV Samson ,KV Sharma ,5
R Vinay Kumar ,DS Kulkarni ,5
S Badrinath ,VY Mahesh ,5
KP Pietersen ,SP Narine ,5
JC Buttler ,TA Boult ,5
Mohammad Hafeez ,M Ntini ,5
DPMD Jayawardene ,SK Raina ,5
PP Chawla ,WPUJC Vaas ,5
JDP Oram ,S Sreesanth ,5
VVS Laxman ,A Nehra ,5
MS Dhoni ,J Suchith ,5
MC Juneja ,A Mishra ,5
MA Starc ,B Kumar ,5
DPMD Jayawardene ,RJ Peterson ,5
MK Tiwary ,SK Warne ,5
AM Nayar ,R Ashwin ,5
KD Karthik ,DJ Hooda ,5
SV Samson ,P Negi ,5
MK Tiwary ,AJ Tye ,5
JC Buttler ,JW Hastings ,5
Y Venugopal Rao ,S Sreesanth ,5
SR Tendulkar ,AC Thomas ,5
Azhar Mahmood ,KA Pollard ,5
SR Tendulkar ,AL Menaria ,5
Ishan Kishan ,MG Johnson ,5
KD Karthik ,KP Appanna ,5
JEC Franklin ,R Sharma ,5
KS Williamson ,DJ Bravo ,5
DJ Bravo ,R Dhawan ,5
MS Dhoni ,Rashid Khan ,5
V Kohli ,YK Pathan ,5
Yuvraj Singh ,DR Smith ,5
C Munro ,KS Williamson ,5
DS Kulkarni ,JA Morkel ,5
AC Gilchrist ,VS Malik ,5
D Wiese ,Harbhajan Singh ,5
JH Kallis ,P Kumar ,5
JC Buttler ,DS Kulkarni ,5
AD Mathews ,DL Vettori ,5
DR Smith ,JP Duminy ,5
AB de Villiers ,SN Thakur ,5
DPMD Jayawardene ,AA Chavan ,5
J Botha ,R Vinay Kumar ,5
MS Bisla ,V Pratap Singh ,5
CJ Ferguson ,R Bhatia ,5
A Chopra ,VY Mahesh ,5
KL Rahul ,R Ashwin ,5
CA Ingram ,R Ashwin ,5
R Dravid ,CH Morris ,5
RG Sharma ,C de Grandhomme ,5
KD Karthik ,MK Tiwary ,5
GH Vihari ,PV Tambe ,5
Iqbal Abdulla ,R Vinay Kumar ,5
F du Plessis ,S Aravind ,5
M Kaif ,SK Trivedi ,5
SB Styris ,M Kartik ,5
MJ Clarke ,Iqbal Abdulla ,5
Shahid Afridi ,IK Pathan ,5
KS Williamson ,SP Narine ,5
SE Marsh ,JD Unadkat ,5
Sandeep Sharma ,YS Chahal ,5
DJ Harris ,M Muralitharan ,5
JP Duminy ,AA Jhunjhunwala ,5
SW Billings ,M Ashwin ,5
R Dravid ,S Tyagi ,5
A Symonds ,KA Pollard ,5
PP Chawla ,A Mishra ,5
WP Saha ,BCJ Cutting ,5
RV Gomez ,DL Vettori ,5
G Gambhir ,KA Pollard ,5
DT Christian ,Pankaj Singh ,5
AB McDonald ,KA Pollard ,5
JD Ryder ,SJ Srivastava ,5
L Ronchi ,RP Singh ,5
AR Patel ,MA Starc ,5
S Narwal ,S Ladda ,5
CL White ,Sandeep Sharma ,5
FY Fazal ,Harmeet Singh ,5
SE Marsh ,SW Tait ,5
KK Nair ,Ankit Sharma ,5
CA Pujara ,DS Kulkarni ,5
KH Pandya ,R Sathish ,5
DH Yagnik ,JO Holder ,5
KD Karthik ,SMSM Senanayake ,5
AA Chavan ,M Morkel ,5
JH Kallis ,DE Bollinger ,5
R Dhawan ,UT Yadav ,5
P Dogra ,SL Malinga ,5
RG Sharma ,Bipul Sharma ,5
GJ Bailey ,BAW Mendis ,5
KK Nair ,Imran Tahir ,5
DW Steyn ,Z Khan ,5
R Ashwin ,SMSM Senanayake ,5
DJ Bravo ,S Nadeem ,5
Shakib Al Hasan ,Yuvraj Singh ,5
PC Valthaty ,JJ van der Wath ,5
Q de Kock ,JH Kallis ,5
AR Patel ,SN Thakur ,5
RR Powar ,Z Khan ,5
AJ Finch ,RD Chahar ,5
CH Gayle ,MF Maharoof ,5
AJ Finch ,DL Vettori ,5
J Botha ,AG Murtaza ,5
SD Chitnis ,SL Malinga ,5
R Sathish ,A Kumble ,5
A Kumble ,DJ Bravo ,5
Y Nagar ,GB Hogg ,5
CA Pujara ,Harmeet Singh ,5
MEK Hussey ,R Ninan ,5
Yuvraj Singh ,SM Harwood ,5
ST Jayasuriya ,LR Shukla ,5
JP Faulkner ,Mohammed Siraj ,5
SR Watson ,RV Gomez ,5
SPD Smith ,S Dhawan ,5
WP Saha ,KAJ Roach ,5
MEK Hussey ,Yuvraj Singh ,5
MS Bisla ,JP Faulkner ,5
YK Pathan ,Rashid Khan ,5
HH Gibbs ,A Mishra ,5
B Chipli ,R Sathish ,5
MC Henriques ,PV Tambe ,5
G Gambhir ,RA Shaikh ,5
SC Ganguly ,Y Nagar ,5
DW Steyn ,L Balaji ,5
G Gambhir ,DP Nannes ,5
LR Shukla ,S Randiv ,5
Mandeep Singh ,MP Stoinis ,5
RE Levi ,GB Hogg ,5
IK Pathan ,A Symonds ,5
M Morkel ,L Balaji ,5
KH Pandya ,NM Coulter-Nile ,5
KB Arun Karthik ,Harbhajan Singh ,5
PA Patel ,GB Hogg ,5
AT Rayudu ,V Kohli ,5
PA Patel ,JA Morkel ,5
SK Warne ,V Sehwag ,5
DJ Bravo ,A Kumble ,5
Shakib Al Hasan ,P Awana ,5
MJ Lumb ,A Kumble ,5
SB Styris ,L Balaji ,5
S Sreesanth ,DP Nannes ,5
Harbhajan Singh ,R Vinay Kumar ,5
Harbhajan Singh ,LR Shukla ,5
MA Starc ,R Bhatia ,5
S Badree ,GJ Maxwell ,5
A Mithun ,DL Vettori ,5
A Symonds ,SK Raina ,5
AC Gilchrist ,RP Singh ,5
RN ten Doeschate ,KV Sharma ,5
PA Patel ,Basil Thampi ,5
Sachin Baby ,MC Henriques ,5
D Wiese ,AD Russell ,5
SR Tendulkar ,DR Smith ,5
RS Bopara ,MJ McClenaghan ,5
BR Dunk ,DJG Sammy ,5
MS Dhoni ,BE Hendricks ,5
P Negi ,M Kartik ,5
J Syed Mohammad ,SL Malinga ,5
B Sumanth ,R Vinay Kumar ,5
STR Binny ,JH Kallis ,5
HH Pandya ,CR Woakes ,5
SA Asnodkar ,DJ Hussey ,5
MC Henriques ,MG Neser ,5
SP Narine ,Z Khan ,5
JP Faulkner ,Mohammed Shami ,5
JP Duminy ,SC Ganguly ,5
Azhar Mahmood ,R Ashwin ,5
MK Tiwary ,VR Aaron ,5
AB de Villiers ,RR Powar ,5
KA Pollard ,AD Mathews ,5
V Kohli ,MJ Clarke ,5
A Symonds ,DJ Bravo ,5
S Sohal ,SB Jakati ,5
RA Jadeja ,AM Nayar ,5
V Kohli ,RN ten Doeschate ,5
SW Billings ,Sandeep Sharma ,5
MS Dhoni ,Shoaib Ahmed ,5
LR Shukla ,PP Ojha ,5
AM Nayar ,BW Hilfenhaus ,5
DB Das ,PP Ojha ,5
AA Jhunjhunwala ,Harbhajan Singh ,5
DT Christian ,Azhar Mahmood ,5
SR Tendulkar ,L Ablish ,5
G Gambhir ,BE Hendricks ,5
BA Stokes ,MJ McClenaghan ,5
ML Hayden ,Y Venugopal Rao ,5
RA Jadeja ,NM Coulter-Nile ,5
AD Russell ,CR Brathwaite ,5
SK Warne ,PJ Sangwan ,5
JDS Neesham ,MG Johnson ,5
V Sehwag ,NM Coulter-Nile ,5
EJG Morgan ,DJ Hooda ,5
S Anirudha ,AC Thomas ,5
R Ashwin ,M Morkel ,5
KC Sangakkara ,GB Hogg ,5
NV Ojha ,Azhar Mahmood ,5
CL White ,KK Cooper ,5
SS Iyer ,T Natarajan ,5
SK Raina ,MA Khote ,5
AT Rayudu ,SJ Srivastava ,5
DB Ravi Teja ,I Sharma ,5
DS Lehmann ,JR Hopes ,5
SV Samson ,Mustafizur Rahman ,5
A Symonds ,M Muralitharan ,5
KA Pollard ,VS Malik ,5
LRPL Taylor ,IK Pathan ,5
Anureet Singh ,DJ Bravo ,5
DA Warner ,A Mithun ,5
Sohail Tanvir ,VY Mahesh ,5
EJG Morgan ,KV Sharma ,5
YK Pathan ,FH Edwards ,5
MD Mishra ,RP Singh ,5
DJ Hussey ,JD Unadkat ,5
AM Rahane ,BJ Rohrer ,5
CH Morris ,VR Aaron ,5
R Shukla ,KK Cooper ,5
DW Steyn ,MG Johnson ,5
MK Tiwary ,MN Samuels ,5
KK Nair ,CR Woakes ,5
AB McDonald ,AG Murtaza ,5
S Vidyut ,IK Pathan ,5
MS Dhoni ,J Syed Mohammad ,5
SV Samson ,S Aravind ,5
AR Patel ,TA Boult ,5
S Badrinath ,Kamran Khan ,5
JA Morkel ,Shoaib Ahmed ,5
KP Pietersen ,T Henderson ,5
SS Iyer ,KC Cariappa ,5
SP Jackson ,JD Unadkat ,5
WD Parnell ,SP Narine ,5
AM Rahane ,DE Bollinger ,5
PA Patel ,Shakib Al Hasan ,5
DS Kulkarni ,DW Steyn ,5
RN ten Doeschate ,IK Pathan ,5
MC Juneja ,PP Chawla ,5
KA Pollard ,LH Ferguson ,5
S Sriram ,BAW Mendis ,5
JC Buttler ,MC Henriques ,5
AM Rahane ,C de Grandhomme ,5
KA Pollard ,CR Woakes ,5
BCJ Cutting ,JJ Bumrah ,5
DJ Hussey ,ST Jayasuriya ,5
SE Marsh ,SB Wagh ,5
JD Ryder ,V Sehwag ,5
M Vohra ,Bipul Sharma ,5
MP Stoinis ,A Mishra ,5
MA Agarwal ,DP Nannes ,5
DJ Jacobs ,A Mishra ,5
KK Nair ,S Nadeem ,5
SM Katich ,JDP Oram ,5
RV Uthappa ,Mohammad Hafeez ,5
DA Miller ,RE van der Merwe ,5
HH Gibbs ,SK Trivedi ,5
RA Jadeja ,VR Aaron ,5
SB Styris ,A Mishra ,5
RS Bopara ,SL Malinga ,5
CM Gautam ,MA Starc ,5
Washington Sundar ,Mohammed Shami ,5
CL White ,VRV Singh ,5
AJ Finch ,WD Parnell ,5
VH Zol ,JP Faulkner ,5
DPMD Jayawardene ,RA Jadeja ,5
S Badrinath ,S Narwal ,5
W Jaffer ,DJ Bravo ,5
AG Paunikar ,AB Dinda ,5
JDP Oram ,PP Chawla ,5
GJ Bailey ,KK Cooper ,5
P Dogra ,LR Shukla ,5
JP Faulkner ,Sandeep Sharma ,5
MF Maharoof ,Iqbal Abdulla ,5
CL White ,S Sreesanth ,5
Mandeep Singh ,TG Southee ,5
V Kohli ,M Ntini ,5
SM Pollock ,Z Khan ,5
YK Pathan ,Sandeep Sharma ,5
P Sahu ,Z Khan ,5
SC Ganguly ,AA Noffke ,5
WPUJC Vaas ,Umar Gul ,5
JR Hopes ,A Mithun ,5
G Gambhir ,AA Chavan ,5
SD Chitnis ,MS Gony ,5
KP Pietersen ,KA Pollard ,5
JR Hopes ,DE Bollinger ,5
Shakib Al Hasan ,S Aravind ,5
Sachin Baby ,TG Southee ,5
MK Tiwary ,A Nel ,5
M Kartik ,DW Steyn ,5
Gurkeerat Singh ,SMSM Senanayake ,5
F du Plessis ,V Pratap Singh ,5
AP Tare ,JH Kallis ,5
G Gambhir ,Azhar Mahmood ,5
DE Bollinger ,A Nehra ,5
SN Thakur ,NM Coulter-Nile ,5
JP Duminy ,A Chandila ,5
SR Watson ,AG Murtaza ,5
RA Tripathi ,MG Johnson ,5
A Mukund ,A Chandila ,5
F du Plessis ,DJ Muthuswami ,5
Niraj Patel ,A Nehra ,5
S Dhawan ,DP Vijaykumar ,5
SS Tiwary ,S Ladda ,5
AJ Finch ,BCJ Cutting ,5
AR Patel ,MJ McClenaghan ,5
AC Gilchrist ,NM Coulter-Nile ,5
AP Tare ,Mohammed Shami ,5
DJ Hussey ,SJ Srivastava ,5
STR Binny ,BA Stokes ,5
MK Pandey ,J Syed Mohammad ,5
SK Raina ,R McLaren ,5
MK Tiwary ,S Gopal ,5
MS Dhoni ,VY Mahesh ,5
Bipul Sharma ,AA Chavan ,5
Parvez Rasool ,B Kumar ,5
MF Maharoof ,Z Khan ,5
Gurkeerat Singh ,DL Chahar ,5
ML Hayden ,SK Trivedi ,5
J Theron ,P Awana ,5
STR Binny ,MG Johnson ,5
JH Kallis ,M Ntini ,5
SW Billings ,R Bhatia ,5
MD Mishra ,Z Khan ,5
KP Pietersen ,AN Ahmed ,5
DPMD Jayawardene ,DNT Zoysa ,5
R Vinay Kumar ,DW Steyn ,5
GC Smith ,MM Patel ,5
Azhar Mahmood ,Z Khan ,5
SS Shaikh ,SK Warne ,5
DJ Bravo ,MC Henriques ,5
JJ Bumrah ,BB Sran ,5
G Gambhir ,D Wiese ,5
MC Henriques ,Anureet Singh ,5
AP Majumdar ,R Bhatia ,5
EJG Morgan ,KK Cooper ,5
DA Warner ,BJ Hodge ,5
R Vinay Kumar ,DAJ Bracewell ,5
RE van der Merwe ,R Ashwin ,5
S Dhawan ,RG Sharma ,5
P Dogra ,AG Murtaza ,5
R Bhatia ,DW Steyn ,5
AM Rahane ,S Narwal ,5
KV Sharma ,S Kaul ,5
R Vinay Kumar ,DT Christian ,5
J Botha ,MM Patel ,5
DB Ravi Teja ,SR Watson ,5
JJ Roy ,PP Chawla ,5
A Mishra ,R Ashwin ,5
V Sehwag ,WD Parnell ,5
KM Jadhav ,Rashid Khan ,5
MS Bisla ,Anand Rajan ,5
SS Tiwary ,Shakib Al Hasan ,5
MN van Wyk ,A Kumble ,5
P Kumar ,MG Johnson ,5
Mandeep Singh ,MC Henriques ,5
AJ Finch ,AG Murtaza ,5
LRPL Taylor ,SL Malinga ,5
LR Shukla ,Sohail Tanvir ,5
AC Gilchrist ,SM Harwood ,5
AR Patel ,UT Yadav ,5
M Kaif ,TM Dilshan ,5
R Ashwin ,L Balaji ,5
B Chipli ,IK Pathan ,5
SK Raina ,AA Jhunjhunwala ,5
GC Smith ,Mohammad Asif ,5
CJ Ferguson ,JH Kallis ,5
KA Pollard ,M Kartik ,5
R Sathish ,CR Brathwaite ,5
P Negi ,P Kumar ,5
KC Sangakkara ,Yuvraj Singh ,5
JA Morkel ,DS Kulkarni ,5
DR Smith ,M Morkel ,5
VR Aaron ,KA Pollard ,5
CH Gayle ,Iqbal Abdulla ,5
STR Binny ,V Pratap Singh ,5
S Dhawan ,Parvez Rasool ,5
MJ Lumb ,RG Sharma ,5
MS Dhoni ,J Yadav ,5
KD Karthik ,CJ Jordan ,5
MD Mishra ,KA Pollard ,5
AS Raut ,MF Maharoof ,5
KC Sangakkara ,UT Yadav ,5
DB Das ,DS Kulkarni ,5
Mandeep Singh ,MA Starc ,5
RA Jadeja ,Sandeep Sharma ,5
R Ashwin ,KA Pollard ,5
UBT Chand ,PV Tambe ,5
SC Ganguly ,JP Faulkner ,5
JC Buttler ,Bipul Sharma ,5
YK Pathan ,DJ Hooda ,5
AN Ahmed ,M Morkel ,5
PA Patel ,DP Vijaykumar ,5
DJ Hussey ,M Kartik ,5
N Saini ,KA Pollard ,5
L Balaji ,RP Singh ,5
DR Smith ,J Syed Mohammad ,5
R McLaren ,RP Singh ,5
DW Steyn ,KW Richardson ,5
Gurkeerat Singh ,IC Pandey ,5
Yuvraj Singh ,NJ Rimmington ,5
R Dhawan ,PP Chawla ,5
KV Sharma ,Harbhajan Singh ,5
R Sathish ,J Syed Mohammad ,5
DJ Bravo ,DNT Zoysa ,5
MS Bisla ,A Singh ,5
SW Billings ,AB Dinda ,5
S Dhawan ,S Randiv ,5
JR Hopes ,SL Malinga ,5
JP Duminy ,J Suchith ,5
SK Trivedi ,DR Smith ,5
CA Pujara ,RP Singh ,5
KH Pandya ,P Negi ,5
BR Dunk ,Sandeep Sharma ,5
SB Styris ,MF Maharoof ,5
AB de Villiers ,AD Russell ,5
Swapnil Singh ,A Zampa ,5
SC Ganguly ,RS Bopara ,5
LR Shukla ,PJ Sangwan ,5
R Dhawan ,VR Aaron ,5
P Kumar ,SK Trivedi ,5
Azhar Mahmood ,DJ Bravo ,5
RA Tripathi ,MM Sharma ,5
AL Menaria ,Azhar Mahmood ,5
JH Kallis ,KV Sharma ,5
TL Suman ,KA Pollard ,5
AT Rayudu ,AA Chavan ,5
SA Yadav ,SA Abbott ,5
AL Menaria ,MM Patel ,5
M Vijay ,PV Tambe ,5
BJ Hodge ,MM Patel ,5
JH Kallis ,VRV Singh ,5
GH Vihari ,JD Unadkat ,5
TM Srivastava ,VY Mahesh ,5
CM Gautam ,Mohammed Shami ,5
KM Jadhav ,Harbhajan Singh ,5
RG Sharma ,WD Parnell ,5
VR Aaron ,AR Patel ,5
AP Tare ,P Kumar ,5
B Chipli ,MS Gony ,5
KV Sharma ,CH Morris ,5
HH Pandya ,SN Thakur ,5
SA Yadav ,Mustafizur Rahman ,5
KS Williamson ,DS Kulkarni ,5
I Sharma ,Z Khan ,5
IR Jaggi ,KH Pandya ,5
WP Saha ,Jaskaran Singh ,5
CJ Anderson ,Mohammed Shami ,5
RN ten Doeschate ,JR Hopes ,5
PP Chawla ,Imran Tahir ,5
Anirudh Singh ,KP Pietersen ,5
V Kohli ,Shahid Afridi ,5
M Vohra ,TS Mills ,5
Ishan Kishan ,Mohammad Nabi ,5
RG Sharma ,Basil Thampi ,5
IR Jaggi ,AC Thomas ,5
JD Ryder ,Ankit Sharma ,5
RV Uthappa ,SMSM Senanayake ,5
